,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Paul George,40:53,15,20,.750,3,6,.500,8,8,1.000,0,13,13,6,3,0,6,2,41,+14
1,Marcus Morris,38:48,9,16,.563,2,5,.400,2,2,1.000,0,3,3,2,1,0,1,3,22,+20
2,Reggie Jackson,38:11,8,14,.571,4,7,.571,3,4,.750,0,5,5,3,0,1,1,3,23,+21
3,Patrick Beverley,30:55,3,6,.500,1,4,.250,0,0,,0,5,5,1,1,1,0,4,7,+2
4,Terance Mann,26:05,2,8,.250,0,2,.000,0,0,,0,2,2,2,1,0,0,0,4,-6
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Nicolas Batum,29:47,1,2,.500,0,1,.000,0,0,,0,8,8,2,0,0,0,1,2,+18
7,Luke Kennard,19:06,0,3,.000,0,2,.000,0,0,,0,1,1,1,1,0,1,2,0,-5
8,DeMarcus Cousins,11:19,7,12,.583,0,2,.000,1,1,1.000,2,0,2,3,1,0,0,1,15,+6
9,Yogi Ferrell,1:14,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0
10,Jay Scrubb,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
11,Daniel Oturu,1:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
12,Amir Coffey,1:14,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
13,Rajon Rondo,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Patrick Patterson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Team Totals,240,46,84,.548,10,30,.333,14,15,.933,2,38,40,20,8,2,9,16,116,
