,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Tobias Harris,38:49,8,15,.533,2,3,.667,2,2,1.000,0,5,5,2,0,1,1,1,20,-8
1,Ben Simmons,36:29,5,10,.500,0,0,,1,5,.200,3,9,12,9,0,2,0,3,11,0
2,Joel Embiid,36:15,4,20,.200,1,4,.250,8,8,1.000,2,19,21,4,0,0,4,3,17,0
3,Seth Curry,35:05,7,10,.700,3,6,.500,0,1,.000,0,2,2,3,0,1,2,1,17,+4
4,Furkan Korkmaz,25:06,4,9,.444,2,5,.400,0,0,,0,2,2,1,0,2,1,1,10,-13
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Matisse Thybulle,21:19,2,7,.286,1,5,.200,0,0,,0,0,0,0,1,0,0,2,5,-1
7,Shake Milton,15:11,2,7,.286,1,2,.500,3,3,1.000,0,0,0,3,0,0,1,1,8,-5
8,George Hill,13:05,1,3,.333,0,1,.000,0,0,,0,2,2,1,1,0,1,2,2,+4
9,Dwight Howard,11:45,3,3,1.000,0,0,,1,2,.500,3,7,10,0,0,0,2,3,7,-3
10,Tyrese Maxey,6:56,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,+7
11,Paul Reed,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Rayjon Tucker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Anthony Tolliver,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Mike Scott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Isaiah Joe,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,37,85,.435,11,27,.407,15,21,.714,8,47,55,23,2,6,12,18,100,
