,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Tobias Harris,36:49,11,19,.579,0,1,.000,0,0,,1,5,6,4,1,1,2,1,22,+11
1,Joel Embiid,34:40,13,25,.520,2,5,.400,12,16,.750,1,12,13,2,2,1,3,5,40,+14
2,Ben Simmons,34:31,2,3,.667,0,0,,0,2,.000,0,3,3,7,2,1,2,2,4,+10
3,Seth Curry,28:52,8,13,.615,5,6,.833,0,1,.000,0,0,0,2,0,0,0,3,21,+13
4,Danny Green,25:50,2,6,.333,1,5,.200,0,0,,1,2,3,8,2,1,0,0,5,+12
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Matisse Thybulle,23:38,1,2,.500,0,1,.000,0,1,.000,0,1,1,0,0,2,0,3,2,+8
7,George Hill,18:34,2,4,.500,0,0,,0,0,,0,1,1,2,2,1,0,0,4,+6
8,Shake Milton,14:15,5,8,.625,4,5,.800,0,0,,0,3,3,1,0,0,0,3,14,+15
9,Dwight Howard,10:42,2,2,1.000,0,0,,2,2,1.000,3,3,6,1,0,0,0,0,6,+8
10,Furkan Korkmaz,6:00,0,3,.000,0,2,.000,0,0,,0,0,0,0,1,1,0,1,0,-11
11,Tyrese Maxey,5:06,0,2,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,0,-4
12,Mike Scott,1:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
13,Paul Reed,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Anthony Tolliver,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Isaiah Joe,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,46,87,.529,12,26,.462,14,22,.636,6,31,37,29,10,8,7,18,118,
