,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Tobias Harris,39:05,9,20,.450,2,3,.667,4,4,1.000,0,5,5,2,0,0,0,4,24,+3
1,Seth Curry,39:04,8,14,.571,6,9,.667,2,2,1.000,0,3,3,2,1,1,1,3,24,+9
2,Joel Embiid,38:14,9,24,.375,1,4,.250,3,4,.750,7,6,13,1,0,2,8,4,22,-1
3,Ben Simmons,25:27,2,6,.333,0,0,,2,4,.500,2,7,9,5,0,1,2,5,6,-7
4,Furkan Korkmaz,22:45,3,9,.333,1,5,.200,0,0,,2,3,5,2,1,0,0,1,7,-5
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Tyrese Maxey,29:28,5,12,.417,1,2,.500,5,8,.625,1,6,7,1,1,1,0,1,16,+12
7,George Hill,20:40,1,3,.333,1,2,.500,0,0,,0,2,2,2,2,0,0,3,3,+10
8,Matisse Thybulle,11:12,0,2,.000,0,2,.000,0,0,,2,3,5,0,2,0,0,2,0,-1
9,Dwight Howard,9:46,1,1,1.000,0,0,,0,1,.000,0,2,2,0,0,0,0,1,2,+6
10,Shake Milton,4:19,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
11,Isaiah Joe,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Rayjon Tucker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Paul Reed,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Mike Scott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Anthony Tolliver,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,38,93,.409,12,29,.414,16,23,.696,14,37,51,15,7,5,11,24,104,
