,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Tobias Harris,38:27,10,16,.625,1,1,1.000,1,3,.333,3,5,8,5,0,0,1,4,22,+9
1,Joel Embiid,33:55,7,14,.500,1,3,.333,12,16,.750,1,8,9,8,1,3,1,3,27,+16
2,Ben Simmons,33:48,7,11,.636,0,0,,4,8,.500,2,2,4,7,1,0,3,5,18,+14
3,Seth Curry,31:43,5,10,.500,2,5,.400,0,0,,1,3,4,2,2,0,2,3,12,+13
4,Danny Green,3:45,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+2
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Furkan Korkmaz,27:25,4,9,.444,3,6,.500,3,3,1.000,0,0,0,1,2,0,0,0,14,+24
7,Shake Milton,21:01,2,3,.667,1,2,.500,1,2,.500,0,2,2,1,0,0,1,2,6,+1
8,Matisse Thybulle,16:45,3,4,.750,1,2,.500,0,0,,0,1,1,0,2,0,0,6,7,-1
9,George Hill,13:25,1,3,.333,1,1,1.000,0,2,.000,1,0,1,2,0,1,2,0,3,+2
10,Dwight Howard,13:15,4,5,.800,0,1,.000,4,5,.800,2,4,6,0,0,0,0,1,12,0
11,Tyrese Maxey,5:41,2,3,.667,0,0,,0,0,,0,0,0,2,0,0,0,1,4,0
12,Isaiah Joe,0:50,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0
13,Mike Scott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Anthony Tolliver,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Paul Reed,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,46,79,.582,10,21,.476,25,39,.641,10,26,36,28,8,4,10,26,127,
