,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Trae Young,39:01,11,23,.478,4,11,.364,9,9,1.000,0,2,2,10,2,0,4,3,35,-11
1,Bogdan Bogdanović,36:03,7,17,.412,5,12,.417,2,2,1.000,0,4,4,5,1,0,3,3,21,0
2,John Collins,33:52,7,9,.778,3,4,.750,4,4,1.000,1,3,4,2,2,0,3,4,21,-12
3,Clint Capela,32:27,5,9,.556,0,0,,1,2,.500,2,8,10,0,1,1,1,5,11,-4
4,Solomon Hill,25:00,2,7,.286,2,7,.286,0,0,,0,3,3,0,1,1,0,4,6,-10
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Kevin Huerter,28:50,6,9,.667,3,6,.500,0,0,,0,5,5,4,1,0,1,3,15,+8
7,Danilo Gallinari,17:53,2,4,.500,1,2,.500,4,4,1.000,0,2,2,0,0,0,1,0,9,+11
8,Onyeka Okongwu,11:54,1,1,1.000,0,0,,0,0,,0,3,3,1,2,1,1,4,2,+13
9,Lou Williams,11:05,3,6,.500,2,4,.500,0,0,,0,2,2,1,0,0,1,0,8,+16
10,Tony Snell,3:55,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+9
11,Nathan Knight,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Bruno Fernando,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Skylar Mays,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,De'Andre Hunter,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
15,Team Totals,240,44,86,.512,20,47,.426,20,21,.952,3,32,35,23,10,3,15,26,128,
