,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Joel Embiid,39:26,12,20,.600,2,4,.500,11,13,.846,2,11,13,5,2,4,5,3,37,+11
1,Ben Simmons,38:25,2,4,.500,0,0,,4,14,.286,0,4,4,9,1,1,2,1,8,+7
2,Tobias Harris,37:41,2,11,.182,0,3,.000,0,0,,1,3,4,3,0,1,2,4,4,-10
3,Seth Curry,37:33,13,19,.684,7,12,.583,3,4,.750,2,5,7,0,2,0,1,4,36,+6
4,Furkan Korkmaz,28:40,2,7,.286,1,5,.200,3,5,.600,0,5,5,1,0,0,1,0,8,+22
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Matisse Thybulle,23:56,2,2,1.000,2,2,1.000,0,0,,0,1,1,1,1,0,1,3,6,-17
7,Shake Milton,12:36,1,5,.200,1,2,.500,2,2,1.000,0,2,2,0,0,0,1,3,5,-8
8,George Hill,11:49,1,5,.200,0,2,.000,0,0,,0,0,0,1,1,0,0,0,2,-7
9,Dwight Howard,8:34,0,2,.000,0,0,,0,0,,2,6,8,0,0,0,2,3,0,-14
10,Tyrese Maxey,1:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
11,Anthony Tolliver,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Paul Reed,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Mike Scott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Rayjon Tucker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Isaiah Joe,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,35,75,.467,13,30,.433,23,38,.605,7,37,44,20,7,6,15,21,106,
