,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Khris Middleton,41:03,7,15,.467,3,8,.375,2,3,.667,0,4,4,8,2,2,3,3,19,+17
1,Giannis Antetokounmpo,38:21,14,26,.538,1,5,.200,5,10,.500,1,11,12,3,0,1,5,4,34,+29
2,Jrue Holiday,37:23,6,16,.375,2,7,.286,0,0,,0,3,3,9,0,0,1,4,14,+5
3,Brook Lopez,32:50,2,6,.333,2,6,.333,0,0,,0,11,11,1,3,0,1,2,6,0
4,P.J. Tucker,29:09,5,8,.625,3,6,.500,0,0,,2,5,7,1,1,0,0,5,13,+14
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Pat Connaughton,21:34,2,5,.400,2,5,.400,2,2,1.000,1,1,2,3,4,2,1,1,8,+23
7,Bryn Forbes,13:14,2,6,.333,2,6,.333,4,5,.800,0,1,1,1,0,0,1,0,10,-10
8,Bobby Portis,11:34,0,3,.000,0,1,.000,0,0,,0,1,1,1,0,2,0,2,0,-5
9,Elijah Bryant,5:45,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,+1
10,Thanasis Antetokounmpo,3:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4
11,Axel Toupane,1:46,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-5
12,Justin Jackson,1:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
13,Sam Merrill,1:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
14,Jeff Teague,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Mamadi Diakite,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,39,88,.443,16,47,.340,13,20,.650,4,38,42,27,10,7,12,22,107,
