,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Paul George,43:23,5,15,.333,2,8,.250,10,10,1.000,2,4,6,10,3,0,4,4,22,+10
1,Kawhi Leonard,42:04,10,15,.667,1,3,.333,7,7,1.000,1,9,10,9,4,1,0,5,28,+8
2,Nicolas Batum,41:35,4,7,.571,1,4,.250,2,2,1.000,3,4,7,5,2,1,1,1,11,+5
3,Marcus Morris,30:12,8,15,.533,7,9,.778,0,0,,1,4,5,2,0,0,0,3,23,+15
4,Reggie Jackson,28:20,4,10,.400,3,8,.375,4,4,1.000,0,1,1,1,1,0,1,2,15,+3
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Terance Mann,26:11,5,10,.500,2,3,.667,1,1,1.000,1,4,5,1,1,0,0,3,13,+14
7,Luke Kennard,14:31,4,6,.667,3,5,.600,0,0,,0,1,1,1,0,0,1,1,11,+14
8,Rajon Rondo,9:17,1,4,.250,1,3,.333,0,0,,0,0,0,0,0,0,0,2,3,+3
9,Ivica Zubac,2:36,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,+3
10,Daniel Oturu,0:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
11,Yogi Ferrell,0:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
12,Amir Coffey,0:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
13,Patrick Beverley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Patrick Patterson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,DeMarcus Cousins,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,41,82,.500,20,43,.465,24,24,1.000,8,27,35,30,11,2,8,21,126,
