,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,LeBron James,41:25,11,26,.423,3,10,.300,4,6,.667,2,7,9,7,2,2,3,1,29,-3
1,Kentavious Caldwell-Pope,39:03,7,11,.636,3,6,.500,2,2,1.000,1,2,3,0,0,0,1,4,19,-4
2,Dennis Schröder,37:50,6,14,.429,2,6,.333,6,6,1.000,0,3,3,3,1,0,1,2,20,-9
3,Marc Gasol,17:32,0,1,.000,0,0,,0,0,,0,3,3,7,0,1,0,4,0,-3
4,Anthony Davis,5:25,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-7
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Wesley Matthews,28:23,4,12,.333,2,6,.333,2,2,1.000,4,2,6,1,1,0,0,2,12,-4
7,Talen Horton-Tucker,19:05,6,9,.667,0,1,.000,0,0,,1,1,2,0,0,0,0,1,12,-1
8,Kyle Kuzma,18:24,1,6,.167,0,2,.000,0,0,,0,4,4,0,1,0,2,0,2,-4
9,Markieff Morris,15:40,1,4,.250,0,3,.000,0,0,,1,0,1,1,0,0,0,4,2,-8
10,Montrezl Harrell,7:59,1,4,.250,0,0,,0,0,,2,0,2,0,0,0,0,1,2,-16
11,Alex Caruso,7:44,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,0,1,2,-6
12,Ben McLemore,0:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
13,Alfonzo McKinnie,0:30,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
14,Jared Dudley,0:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
15,Andre Drummond,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,38,91,.418,10,35,.286,14,16,.875,11,24,35,21,5,3,7,20,100,
