,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Damian Lillard,43:23,8,20,.400,3,11,.273,9,9,1.000,0,4,4,13,2,0,5,1,28,-11
1,Robert Covington,38:25,3,3,1.000,3,3,1.000,2,2,1.000,2,8,10,0,3,1,2,3,11,-3
2,CJ McCollum,38:12,9,21,.429,2,8,.250,1,2,.500,1,3,4,3,0,1,1,5,21,-8
3,Jusuf Nurkić,33:22,5,7,.714,0,1,.000,3,4,.750,2,5,7,2,0,2,5,5,13,-9
4,Norman Powell,32:16,6,13,.462,3,6,.500,2,2,1.000,1,3,4,2,1,0,1,5,17,-2
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Carmelo Anthony,22:41,5,9,.556,1,3,.333,3,3,1.000,0,5,5,4,0,1,2,2,14,-17
7,Anfernee Simons,20:40,3,3,1.000,3,3,1.000,0,0,,0,0,0,0,0,1,0,0,9,-8
8,Rondae Hollis-Jefferson,9:28,1,2,.500,0,0,,0,0,,2,1,3,0,1,1,0,1,2,+3
9,Nassir Little,0:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
10,T.J. Leaf,0:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
11,Keljin Blevins,0:31,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
12,Derrick Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,CJ Elleby,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Harry Giles,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Enes Kanter,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,40,79,.506,15,36,.417,20,22,.909,8,29,37,24,7,7,16,22,115,
