,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Tobias Harris,31:41,8,14,.571,2,3,.667,2,2,1.000,0,13,13,5,0,0,2,2,20,+29
1,Ben Simmons,30:16,7,10,.700,0,0,,0,3,.000,2,3,5,9,1,0,2,1,14,+27
2,Joel Embiid,27:54,14,18,.778,3,4,.750,5,7,.714,0,8,8,2,3,1,2,2,36,+29
3,Seth Curry,27:18,6,11,.545,3,6,.500,0,0,,0,0,0,6,1,0,0,2,15,+30
4,Danny Green,25:45,5,9,.556,5,9,.556,0,0,,1,3,4,2,0,1,0,2,15,+32
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Matisse Thybulle,18:20,2,6,.333,0,3,.000,1,2,.500,0,2,2,0,0,0,0,3,5,-5
7,George Hill,18:09,2,2,1.000,1,1,1.000,0,0,,0,2,2,2,0,1,2,3,5,-3
8,Dwight Howard,16:02,1,2,.500,0,0,,3,4,.750,2,7,9,2,0,1,2,4,5,0
9,Tyrese Maxey,11:15,2,4,.500,0,0,,0,0,,0,1,1,2,0,1,0,2,4,+4
10,Shake Milton,10:30,1,3,.333,0,1,.000,2,2,1.000,0,0,0,0,1,0,4,3,4,-2
11,Furkan Korkmaz,9:20,1,4,.250,1,3,.333,0,0,,0,1,1,1,1,0,1,0,3,+2
12,Mike Scott,6:10,2,3,.667,2,3,.667,0,0,,0,1,1,0,0,0,0,0,6,+4
13,Paul Reed,3:44,0,1,.000,0,0,,0,0,,2,3,5,0,0,0,0,0,0,0
14,Isaiah Joe,3:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
15,Anthony Tolliver,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,51,87,.586,17,33,.515,13,20,.650,7,44,51,31,7,5,15,25,132,
