,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Khris Middleton,33:47,8,16,.500,3,9,.333,3,3,1.000,1,7,8,5,0,0,4,2,22,+26
1,Jrue Holiday,33:36,7,10,.700,2,4,.500,3,4,.750,0,3,3,12,0,0,2,2,19,+41
2,Giannis Antetokounmpo,32:35,6,12,.500,0,2,.000,5,7,.714,2,15,17,5,1,0,3,3,17,+4
3,Brook Lopez,26:40,6,11,.545,0,1,.000,1,1,1.000,1,4,5,0,0,2,3,3,13,+15
4,Donte DiVincenzo,9:23,0,4,.000,0,2,.000,0,0,,0,2,2,0,0,0,0,0,0,+5
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,P.J. Tucker,23:07,2,4,.500,1,2,.500,0,0,,3,0,3,1,1,0,2,4,5,+21
7,Bryn Forbes,20:29,4,8,.500,3,7,.429,0,1,.000,0,3,3,0,1,0,0,1,11,+10
8,Pat Connaughton,17:50,3,6,.500,3,5,.600,0,0,,0,3,3,1,0,0,0,0,9,+19
9,Bobby Portis,17:07,5,7,.714,1,2,.500,0,0,,2,7,9,0,0,0,1,2,11,+15
10,Jeff Teague,5:26,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-8
11,Jordan Nwora,5:08,0,4,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1
12,Elijah Bryant,4:13,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4,-1
13,Mamadi Diakite,4:13,0,2,.000,0,0,,2,2,1.000,0,0,0,0,2,0,0,0,2,-1
14,Sam Merrill,4:13,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-1
15,Axel Toupane,2:13,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,0,0,+1
16,Team Totals,240,43,89,.483,13,36,.361,14,18,.778,10,45,55,25,6,2,15,19,113,
