,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Marcus Smart,31:44,6,13,.462,5,8,.625,2,4,.500,1,2,3,6,2,0,1,2,19,-18
1,Kemba Walker,30:28,5,11,.455,0,3,.000,7,8,.875,0,3,3,7,0,0,0,1,17,-18
2,Evan Fournier,26:59,5,9,.556,4,5,.800,2,2,1.000,1,0,1,0,2,0,3,4,16,-11
3,Tristan Thompson,24:36,7,9,.778,0,0,,1,2,.500,8,3,11,0,0,1,2,3,15,-23
4,Jayson Tatum,21:01,3,12,.250,1,3,.333,2,2,1.000,1,3,4,1,2,2,3,2,9,-28
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Aaron Nesmith,18:41,0,5,.000,0,5,.000,0,0,,0,3,3,0,1,0,1,1,0,-6
7,Romeo Langford,18:08,2,7,.286,0,1,.000,0,0,,1,1,2,1,1,0,0,0,4,-3
8,Robert Williams,16:42,4,6,.667,0,0,,0,0,,3,3,6,1,0,0,1,5,8,+1
9,Payton Pritchard,13:03,0,5,.000,0,3,.000,2,2,1.000,0,3,3,4,1,0,1,1,2,-4
10,Grant Williams,12:00,2,4,.500,1,1,1.000,0,0,,0,2,2,1,0,0,0,0,5,+5
11,Semi Ojeleye,6:42,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,1,0,0,0,0
12,Jabari Parker,6:29,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,2,1,2,-5
13,Carsen Edwards,4:29,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,0,0,5,0
14,Tremont Waters,4:29,1,3,.333,0,1,.000,1,1,1.000,0,0,0,2,1,0,1,0,3,0
15,Luke Kornet,4:29,1,1,1.000,0,0,,1,2,.500,0,2,2,0,0,0,0,0,3,0
16,Team Totals,240,39,92,.424,12,34,.353,18,23,.783,15,28,43,23,10,4,15,20,108,
